danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.569,0.596,8,-6.486,1,0.172,0.452,7.92e-05,0.205,0.754,93.135,audio_features,4iuNZTcvT9diFySSzVsnVS,spotify:track:4iuNZTcvT9diFySSzVsnVS,https://api.spotify.com/v1/tracks/4iuNZTcvT9diFySSzVsnVS,https://api.spotify.com/v1/audio-analysis/4iuNZTcvT9diFySSzVsnVS,217347,4
0.808,0.721,1,-5.165,1,0.213,0.197,0.0,0.205,0.773,94.955,audio_features,538hPQNtP190KcS3ZnWY5M,spotify:track:538hPQNtP190KcS3ZnWY5M,https://api.spotify.com/v1/tracks/538hPQNtP190KcS3ZnWY5M,https://api.spotify.com/v1/audio-analysis/538hPQNtP190KcS3ZnWY5M,238360,4
0.741,0.508,11,-5.099,0,0.0507,0.0347,6.45e-05,0.0602,0.354,121.965,audio_features,6gdhHMWUv1pvkOHqCUGvCp,spotify:track:6gdhHMWUv1pvkOHqCUGvCp,https://api.spotify.com/v1/tracks/6gdhHMWUv1pvkOHqCUGvCp,https://api.spotify.com/v1/audio-analysis/6gdhHMWUv1pvkOHqCUGvCp,270760,4
0.651,0.527,5,-8.586,0,0.178,0.556,0.0,0.209,0.496,78.927,audio_features,0FPuNzimOamZvt7ysiP7Pt,spotify:track:0FPuNzimOamZvt7ysiP7Pt,https://api.spotify.com/v1/tracks/0FPuNzimOamZvt7ysiP7Pt,https://api.spotify.com/v1/audio-analysis/0FPuNzimOamZvt7ysiP7Pt,246107,4
0.699,0.388,6,-10.722,1,0.0531,0.589,1.98e-06,0.0658,0.566,125.861,audio_features,4TVTbdNZtCJEhibH231GxQ,spotify:track:4TVTbdNZtCJEhibH231GxQ,https://api.spotify.com/v1/tracks/4TVTbdNZtCJEhibH231GxQ,https://api.spotify.com/v1/audio-analysis/4TVTbdNZtCJEhibH231GxQ,274667,4
0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,audio_features,1KGi9sZVMeszgZOWivFpxs,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,214400,4
0.592,0.562,10,-6.869,0,0.0239,0.00373,3.23e-05,0.223,0.208,90.16,audio_features,1AM1o0mKbgAK5oMpY8B3Z7,spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,https://api.spotify.com/v1/tracks/1AM1o0mKbgAK5oMpY8B3Z7,https://api.spotify.com/v1/audio-analysis/1AM1o0mKbgAK5oMpY8B3Z7,250173,4
0.755,0.381,8,-6.696,0,0.0711,0.291,5.13e-06,0.0974,0.695,73.108,audio_features,6cR1U61DMpYbS2TtNTlSvo,spotify:track:6cR1U61DMpYbS2TtNTlSvo,https://api.spotify.com/v1/tracks/6cR1U61DMpYbS2TtNTlSvo,https://api.spotify.com/v1/audio-analysis/6cR1U61DMpYbS2TtNTlSvo,263507,4
0.622,0.593,7,-8.352,0,0.0916,0.163,0.0,0.0979,0.607,94.364,audio_features,5WphWTUIfRe7x8NZss79cY,spotify:track:5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/tracks/5WphWTUIfRe7x8NZss79cY,https://api.spotify.com/v1/audio-analysis/5WphWTUIfRe7x8NZss79cY,249093,4
0.725,0.487,8,-5.959,0,0.0368,0.26,1.09e-05,0.431,0.599,136.086,audio_features,1m2xMsxbtxv21Brome189p,spotify:track:1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/tracks/1m2xMsxbtxv21Brome189p,https://api.spotify.com/v1/audio-analysis/1m2xMsxbtxv21Brome189p,296693,4
0.699,0.492,9,-9.449,0,0.0318,0.484,0.0,0.0482,0.388,117.907,audio_features,4SF1747p541umnykBp352Q,spotify:track:4SF1747p541umnykBp352Q,https://api.spotify.com/v1/tracks/4SF1747p541umnykBp352Q,https://api.spotify.com/v1/audio-analysis/4SF1747p541umnykBp352Q,264773,4
0.704,0.707,1,-6.537,0,0.0391,0.539,0.00106,0.318,0.761,93.145,audio_features,6sHsXIJoEN5JpdkGMQDJxt,spotify:track:6sHsXIJoEN5JpdkGMQDJxt,https://api.spotify.com/v1/tracks/6sHsXIJoEN5JpdkGMQDJxt,https://api.spotify.com/v1/audio-analysis/6sHsXIJoEN5JpdkGMQDJxt,294787,4
0.637,0.725,5,-5.073,1,0.0333,0.0702,0.00438,0.203,0.415,92.99,audio_features,0qvlhVNm7L5IWabWF5hlEL,spotify:track:0qvlhVNm7L5IWabWF5hlEL,https://api.spotify.com/v1/tracks/0qvlhVNm7L5IWabWF5hlEL,https://api.spotify.com/v1/audio-analysis/0qvlhVNm7L5IWabWF5hlEL,274733,4
0.688,0.519,5,-4.285,1,0.0283,0.064,0.0,0.1,0.318,116.714,audio_features,0W4NhJhcqKCqEP2GIpDCDq,spotify:track:0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/tracks/0W4NhJhcqKCqEP2GIpDCDq,https://api.spotify.com/v1/audio-analysis/0W4NhJhcqKCqEP2GIpDCDq,255333,4
0.646,0.335,3,-9.915,0,0.247,0.626,1.3e-05,0.107,0.419,167.927,audio_features,3LfHBTYZBTqmz43tvVXJBd,spotify:track:3LfHBTYZBTqmz43tvVXJBd,https://api.spotify.com/v1/tracks/3LfHBTYZBTqmz43tvVXJBd,https://api.spotify.com/v1/audio-analysis/3LfHBTYZBTqmz43tvVXJBd,92093,4
0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,audio_features,68vgtRHr7iZHpzGpon6Jlo,spotify:track:68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/tracks/68vgtRHr7iZHpzGpon6Jlo,https://api.spotify.com/v1/audio-analysis/68vgtRHr7iZHpzGpon6Jlo,223440,4
0.618,0.552,8,-6.863,1,0.0981,0.176,0.0,0.252,0.586,81.975,audio_features,6BIcjFZIVDZxNAcofRFPx4,spotify:track:6BIcjFZIVDZxNAcofRFPx4,https://api.spotify.com/v1/tracks/6BIcjFZIVDZxNAcofRFPx4,https://api.spotify.com/v1/audio-analysis/6BIcjFZIVDZxNAcofRFPx4,242773,4
0.695,0.671,6,-4.763,0,0.0577,0.189,0.0,0.235,0.839,77.608,audio_features,18cMxAuSTWkljxRYk1Fma1,spotify:track:18cMxAuSTWkljxRYk1Fma1,https://api.spotify.com/v1/tracks/18cMxAuSTWkljxRYk1Fma1,https://api.spotify.com/v1/audio-analysis/18cMxAuSTWkljxRYk1Fma1,248347,4
0.579,0.742,2,-3.616,0,0.0474,0.078,0.0,0.07,0.401,78.478,audio_features,0JVEpLj6fptu0VNBJcIygB,spotify:track:0JVEpLj6fptu0VNBJcIygB,https://api.spotify.com/v1/tracks/0JVEpLj6fptu0VNBJcIygB,https://api.spotify.com/v1/audio-analysis/0JVEpLj6fptu0VNBJcIygB,231653,4
